0,1,2,3,4,5,6,7,8
SF3B1,CHIC1,LINC02541,PLXNB2,TGFBI,ABR,SMPDL3A,TECPR1,STAB1
ATXN1,PPP2R3A,CCNB1,GULP1,RARRES1,EXD3,STMN1,EDNRB,TDP2
NR4A2,AC018647.1,DLEU2,ST6GALNAC5,PDE5A,CCDC14,CHP1,TSPAN9,CDKN1A
PRKCQ,ENPP3,RNMT,PRNP,GULP1,CLCA1,SLC4A7,TNS1,USP53
TPRG1,FTCDNL1,SMCHD1,ADCK5,SELENBP1,STYK1,ANPEP,TIMP2,AC093827.1
GPR132,MRAP2,IL6,TMEM71,DLC1,PDGFA,ITGB5,MIDN,AC129492.1
IL18R1,LINC01145,AP1S2,KALRN,OSR2,NOSTRIN,DIPK2A,IL6ST,VPS37B
PCNX1,PLB1,HIP1R,PMP22,RBMS3,P3H2,AP3B1,ELN,SLC39A6
GOLGA8B,AC009554.1,SF3B1,CLUH,GFPT2,RFLNA,LAMP3,FLT4,ATF7IP
AC008105.3,FCGBP,ERP44,SHC4,CNRIP1,AC005392.3,TUBA1A,LHFPL6,ITGA9
SAMHD1,AC139887.2,AURKA,PARPBP,FRMD6,VPS37B,MVB12B,ODF2L,MIP
SLF1,LINC02156,ZNF141,IRS1,F2R,EHHADH,EVI5,RABGAP1,NIPAL3
LINC02694,MAPK8IP3,ALOX5AP,TSPAN11,PRCP,FAR2,AC004817.3,CSRP1,ANKRD36B
PATL2,SWSAP1,CENPF,FRMD1,C1orf54,LAMA1,USP32,IL1R1,STAG3L3
BHLHE40-AS1,BLOC1S2,CELF2,NOS2,EDIL3,AHI1,SERPINB9,CNTNAP3B,DTWD2
IL6ST,RNF150,SPG11,TFAP2A,ENG,NDRG2,C20orf194,ITGA9,PELI2
LINC02446,POT1-AS1,IQSEC1,TMPRSS2,RDX,XIST,SERPINF1,NXN,AF127936.2
PDE3B,AMY2B,CLEC2D,MAP4,MYH11,DOCK5,AC004151.1,RFTN1,PLEKHM1P1
NLRC3,ADCK1,ZNF826P,CUL4A,SVIL,C12orf75,NRG1,BTNL9,CUL4A
NFKBIZ,MIR222HG,CTC1,CFDP1,FNDC1,SEMA3B,APOBEC3A,TANC1,COL18A1
HOPX,ZNF699,MIDN,ITGB8,TAGLN,ASRGL1,MID1IP1,PPFIA3,C8orf31
CASP2,AC012123.1,FAM102A,RFLNA,LAMA2,CLIC5,CR1,DST,NSUN6
CUL9,AP001347.1,AP000769.1,PLEKHA7,KLF4,TINAGL1,DOCK5,HIF3A,SDK2
NCK2,AC002070.1,CCDC88B,RPS25,AC005747.1,NEURL1,RDX,DLL1,CSRNP2
AC245297.3,FEM1C,PCNA,NLGN4X,NDRG1,ATF3,CCL17,SLC14A1,PADI2
AC004817.3,AC105749.1,SNORD3B-2,LINC01843,INMT,TMEM181,IRAK1,EPHA4,CNKSR2
ATF6B,RFX3,CCDC144CP,DKK3,CTSB,CARD10,LPL,SERPINE1,PRDM10
CRYBG1,LINC02595,UTS2B,PROX1,SYNGR1,LINC01612,MX1,GJA5,LTB4R
ERN1,ZDHHC18,SDK2,HNF4G,PLOD2,VWA5A,ABR,CLIC5,KANTR
LINC00299,CARMN,AC009126.1,C2,PXDN,KALRN,DISC1,FBN1,BMPR1A
RTKN2,ANKDD1A,MX2,LINC01088,IL6ST,FOXA1,MBNL1,TNFAIP1,LMOD3
LINC01619,LINC00261,UBL7-AS1,KPNA2,INHBA,BEST4,PRKAG2,ERICH1,OSGEPL1-AS1
AP3M2,ADAMTSL4-AS1,CEP135,SPARC,PALM,FOXD2,ITPK1,AC129492.1,PDCD6IP
OGA,AL132780.1,AL050309.1,GATM,POSTN,SELENOP,XAF1,POSTN,MYO1G
C19orf25,AC093827.1,PATL2,KLHL7,NPDC1,SLC22A5,ANKS1A,NARF,SYTL2
